Block Number,Trial Number,Target Letter,Target Colour,Response,Accuracy,Response Time
1,1,L,blue,left,Incorrect,1.3601362999906996
1,2,L,red,up,Correct,0.22536670000408776
1,3,T,blue,up,Incorrect,0.14488320000236854
1,4,L,blue,down,Correct,0.23994800000218675
1,5,T,red,up,Incorrect,0.10107889999926556
1,6,L,blue,down,Correct,0.23447400001168717
1,7,T,blue,right,Correct,0.07109440000203904
1,8,T,red,left,Correct,0.3971097000030568
1,9,L,red,right,Incorrect,0.20837250001204666
1,10,T,blue,left,Incorrect,0.31172820000210777
2,1,L,blue,left,Incorrect,0.5274161999986973
2,2,L,red,right,Incorrect,0.21877730000414886
2,3,T,blue,left,Incorrect,0.11753499999758787
2,4,T,red,right,Incorrect,0.16655639999953564
2,5,T,blue,left,Incorrect,0.1811901999899419
2,6,T,blue,right,Correct,0.22223150001082104
2,7,L,blue,left,Incorrect,0.24796529999002814
2,8,L,blue,up,Incorrect,0.012846800003899261
2,9,L,red,right,Incorrect,0.01171500000054948
2,10,T,red,left,Correct,0.17731080000521615
3,1,L,red,down,Incorrect,0.9029219999938505
3,2,T,red,up,Incorrect,0.29885219999414403
3,3,L,red,right,Incorrect,0.07193900000129361
3,4,L,red,up,Correct,0.03849880000052508
3,5,T,blue,down,Incorrect,0.23776099999668077
3,6,T,blue,right,Correct,0.004156200011493638
3,7,L,red,left,Incorrect,0.2806041000003461
3,8,T,red,down,Incorrect,0.19197739999799524
3,9,L,blue,up,Incorrect,0.013203000009525567
3,10,T,red,left,Correct,0.3149252000002889
